SPECIES,SEAWATER,O2
A.scabra,100%,7.16
A.scabra,100%,6.78
A.scabra,100%,13.6
A.scabra,100%,8.93
A.scabra,100%,8.26
A.scabra,100%,14
A.scabra,100%,16.1
A.scabra,100%,9.66
A.scabra,75%,5.2
A.scabra,75%,5.2
A.scabra,75%,7.18
A.scabra,75%,6.37
A.scabra,75%,13.2
A.scabra,75%,8.39
A.scabra,75%,10.4
A.scabra,75%,7.18
A.scabra,50%,11.11
A.scabra,50%,9.74
A.scabra,50%,18.8
A.scabra,50%,9.74
A.scabra,50%,10.5
A.scabra,50%,14.6
A.scabra,50%,11.1
A.scabra,50%,11.8
A.digitalis,100%,6.14
A.digitalis,100%,3.86
A.digitalis,100%,10.4
A.digitalis,100%,5.49
A.digitalis,100%,6.14
A.digitalis,100%,10
A.digitalis,100%,11.6
A.digitalis,100%,5.8
A.digitalis,75%,4.47
A.digitalis,75%,9.9
A.digitalis,75%,5.75
A.digitalis,75%,11.8
A.digitalis,75%,4.95
A.digitalis,75%,6.49
A.digitalis,75%,5.44
A.digitalis,75%,9.9
A.digitalis,50%,9.63
A.digitalis,50%,6.38
A.digitalis,50%,13.4
A.digitalis,50%,14.5
A.digitalis,50%,14.5
A.digitalis,50%,10.2
A.digitalis,50%,17.7
A.digitalis,50%,12.3
